Models,MSE,RMSE,MAE,MBE,r,R2,RRMSE,NSE,WI
EALSTM,0.0238,0.1544,0.0839,0.0584,0.8717,0.8843,4.7871,0.8934,0.8906
DTCN,0.0498,0.2232,0.1025,0.0916,0.8555,0.8681,6.4911,0.8711,0.8712
FTLM,0.0909,0.3015,0.1192,0.1029,0.842,0.8546,6.716,0.8472,0.8725
LSTM,0.1186,0.3444,0.1318,0.1665,0.8412,0.8538,6.83,0.8415,0.8524
BiRNN,0.1335,0.3653,0.136,0.1731,0.8403,0.8529,6.8715,0.8367,0.8501
GRU,0.2179,0.4668,0.1863,0.195,0.8354,0.8437,7.1,0.8215,0.8446
TCN,0.2545,0.5045,0.2748,0.3714,0.8217,0.8308,7.3195,0.8006,0.8377
GNN,0.3539,0.5949,0.319,0.489,0.8016,0.8113,7.653,0.7933,0.8235
