Models,MSE,RMSE,MAE,MBE,r,R2,RRMSE,NSE,WI
EALSTM,0.0337,0.1835,0.0927,0.0645,0.8651,0.8777,5.0323,0.8869,0.884
DTCN,0.0704,0.2654,0.1132,0.1013,0.8489,0.8615,6.8237,0.8645,0.8646
FTLM,0.1284,0.3583,0.1318,0.1138,0.8354,0.848,7.06,0.8407,0.8659
LSTM,0.1678,0.4096,0.145,0.1798,0.8346,0.8472,7.16,0.8354,0.8482
BiRNN,0.1886,0.4343,0.1503,0.1913,0.8338,0.8464,7.2236,0.8302,0.8435
GRU,0.3078,0.5548,0.2059,0.2155,0.8288,0.8386,7.42,0.8149,0.838
TCN,0.3596,0.5997,0.3037,0.4104,0.8151,0.8242,7.6945,0.7941,0.8311
GNN,0.5001,0.7072,0.3525,0.5404,0.795,0.8047,8.045,0.7867,0.8169
