Models,MSE,RMSE,MAE,MBE,r,R2,RRMSE,NSE,WI
EALSTM,0.0067,0.0817,0.0359,0.025,0.9153,0.9279,2.1736,0.9225,0.9197
DTCN,0.0139,0.1181,0.0438,0.0392,0.8991,0.9117,2.9473,0.9002,0.9003
FTLM,0.0254,0.1595,0.051,0.044,0.8856,0.8982,3.0494,0.8763,0.9016
LSTM,0.0316,0.1778,0.0551,0.0662,0.8848,0.8974,3.085,0.8715,0.8898
BiRNN,0.0373,0.1932,0.0582,0.074,0.884,0.8966,3.12,0.8658,0.8791
GRU,0.061,0.2469,0.0797,0.0834,0.879,0.889,3.1724,0.8505,0.8737
TCN,0.0712,0.2669,0.1175,0.1589,0.8653,0.8744,3.3234,0.8443,0.8713
GNN,0.099,0.3147,0.1365,0.2092,0.8452,0.8549,3.4748,0.8369,0.8671
