Models,MSE,RMSE,MAE,MBE,r,R2,RRMSE,NSE,WI
EALSTM,0.0665,0.2579,0.1071,0.0745,0.8569,0.8695,5.9137,0.8875,0.8847
DTCN,0.1391,0.3729,0.1309,0.117,0.8406,0.8532,8.0189,0.8563,0.8564
FTLM,0.2536,0.5036,0.1523,0.1315,0.8272,0.8398,8.2966,0.8324,0.8577
LSTM,0.3308,0.5752,0.1658,0.2054,0.8263,0.839,8.39,0.8271,0.8405
BiRNN,0.3725,0.6103,0.1737,0.221,0.8255,0.8381,8.4888,0.8219,0.8352
GRU,0.6079,0.7797,0.238,0.249,0.8205,0.831,8.71,0.8066,0.8298
GNN,0.7102,0.8428,0.3509,0.4743,0.8069,0.816,9.0422,0.7858,0.8229
TCN,0.9876,0.9938,0.4074,0.6245,0.7868,0.7965,9.4542,0.7785,0.8086
