Models,MSE,RMSE,MAE,MBE,r,R2,RRMSE,NSE,WI
EALSTM,0.0597,0.2443,0.0848,0.059,0.8747,0.8873,5.2615,0.8964,0.8936
DTCN,0.1247,0.3532,0.1036,0.0926,0.8584,0.871,7.1344,0.8741,0.8742
FTLM,0.2275,0.4769,0.1206,0.1041,0.8449,0.8575,7.3815,0.8502,0.8755
LSTM,0.2958,0.5439,0.1318,0.1624,0.8441,0.8567,7.47,0.8448,0.8578
BiRNN,0.3341,0.578,0.1375,0.175,0.8433,0.8559,7.5525,0.8397,0.853
GRU,0.5453,0.7385,0.1884,0.1971,0.8383,0.8484,7.76,0.8244,0.8476
GNN,0.6371,0.7982,0.2778,0.3754,0.8247,0.8338,8.0448,0.8036,0.8407
TCN,0.8859,0.9412,0.3225,0.4943,0.8046,0.8143,8.4114,0.7963,0.8264
